연도,분류,품목,직접비(퍼센트),간접비(퍼센트),이윤(퍼센트)
2019,조미채소류,양파,38.5,9.7,40.5
2019,조미채소류,대파,40.6,15,12.7
2019,과일류,사과,17.3,11,19
2019,과일류,배,21.4,8.9,22
2019,과일류,단감,13.5,11.9,16.8
2019,과일류,포도,19.6,11.2,9
2019,과일류,감귤,30.2,10.5,16.1
2019,과일류,복숭아,15.5,10.3,6.7
2019,화훼류,장미,18.3,18.4,22
2019,화훼류,국화,20.9,16.2,11.2
2019,축산부류,쇠고기,10.2,23,15.3
2019,축산부류,돼지고기,14.5,30.1,0.2
2019,축산부류,닭고기,15.4,32.6,6.1
2019,축산부류,계란,14.1,27.9,10.3
